# orin-iomem.txt -- H3 live harvest of the Jetson Orin Nano over ssh, 2026-09-09 (board local time ~15:36, uptime 16h). READ-ONLY; sudo -n used only for dmesg/iomem/blkid/efibootmgr/ESP listing/ESRT/fuser.
# Redacted: login/hostname -> <user>, LAN IPs -> <orin-ip>/<lan-ip>, ssh key -> <orin-key>, MAC -> <mac>, NVMe serial/EUI -> <nvme-serial>/<nvme-eui>. NUL bytes stripped.
# Producing scripts: h3-a.sh / h3-c.sh / h3-f.sh / h3-d.sh (scratchpad); section markers === [x] === are the script sections.

=== [g] memory map ===
--- sudo -n cat /proc/iomem
01700000-0170ffff : 2c00000.memory-controller ch8
01710000-0171ffff : 2c00000.memory-controller ch9
01720000-0172ffff : 2c00000.memory-controller ch10
01730000-0173ffff : 2c00000.memory-controller ch11
01740000-0174ffff : 2c00000.memory-controller ch12
01750000-0175ffff : 2c00000.memory-controller ch13
01760000-0176ffff : 2c00000.memory-controller ch14
01770000-0177ffff : 2c00000.memory-controller ch15
02080000-021a0fff : 2080000.timer timer@2080000
02200000-0220ffff : 2200000.gpio security
02210000-0221ffff : 2200000.gpio gpio
0242c000-0242cffe : nvidia
02430000-024490ff : 2430000.pinmux pinmux@2430000
02600000-0280ffff : 2600000.dma-controller dma-controller@2600000
02900800-02900fff : 2900800.ahub ahub@2900800
02901100-029011ff : 2901100.i2s i2s@2901100
02901200-029012ff : 2901200.i2s i2s@2901200
02901300-029013ff : 2901300.i2s i2s@2901300
02901400-029014ff : 2901400.i2s i2s@2901400
02902000-029021ff : 2902000.sfc sfc@2902000
02902200-029023ff : 2902200.sfc sfc@2902200
02902400-029025ff : 2902400.sfc sfc@2902400
02902600-029027ff : 2902600.sfc sfc@2902600
02903000-029030ff : 2903000.amx amx@2903000
02903100-029031ff : 2903100.amx amx@2903100
02903200-029032ff : 2903200.amx amx@2903200
02903300-029033ff : 2903300.amx amx@2903300
02903800-029038ff : 2903800.adx adx@2903800
02903900-029039ff : 2903900.adx adx@2903900
02903a00-02903aff : 2903a00.adx adx@2903a00
02903b00-02903bff : 2903b00.adx adx@2903b00
02904000-029040ff : 2904000.dmic dmic@2904000
02904100-029041ff : 2904100.dmic dmic@2904100
02904300-029043ff : 2904300.dmic dmic@2904300
02905000-029050ff : 2905000.dspk dspk@2905000
02905100-029051ff : 2905100.dspk dspk@2905100
02907000-029070ff : 2907000.afc afc@2907000
02907100-029071ff : 2907100.afc afc@2907100
02907200-029072ff : 2907200.afc afc@2907200
02907300-029073ff : 2907300.afc afc@2907300
02907400-029074ff : 2907400.afc afc@2907400
02907500-029075ff : 2907500.afc afc@2907500
02908000-029080ff : 2908000.processing-engine processing-engine@2908000
02908100-029081ff : 2908000.processing-engine equalizer@2908100
02908200-029083ff : 2908000.processing-engine dynamic-range-compressor@2908200
0290a000-0290a1ff : 290a000.mvc mvc@290a000
0290a200-0290a3ff : 290a200.mvc mvc@290a200
0290bb00-0290c2ff : 290bb00.amixer amixer@290bb00
0290e400-0290e7ff : 290e400.arad arad@290e400
0290f000-0290ffff : 290f000.admaif admaif@290f000
02910000-02911fff : 2910000.asrc asrc@2910000
02930000-0294ffff : 2930000.dma-controller dma-controller@2930000
02b80000-02b8ffff : 2c00000.memory-controller ch4
02b90000-02b9ffff : 2c00000.memory-controller ch5
02ba0000-02baffff : 2c00000.memory-controller ch6
02bb0000-02bbffff : 2c00000.memory-controller ch7
02c00000-02c0ffff : 2c00000.memory-controller sid
02c10000-02c1ffff : 2c00000.memory-controller broadcast
02c20000-02c2ffff : 2c00000.memory-controller ch0
02c30000-02c3ffff : 2c00000.memory-controller ch1
02c40000-02c4ffff : 2c00000.memory-controller ch2
02c50000-02c5ffff : 2c00000.memory-controller ch3
03100000-0310ffff : 3100000.serial serial@3100000
03140000-0314ffff : 3140000.serial serial@3140000
03160000-031600ff : 3160000.i2c i2c@3160000
03180000-031800ff : 3180000.i2c i2c@3180000
031b0000-031b00ff : 31b0000.i2c i2c@31b0000
031d0000-031dffff : 31d0000.serial serial@31d0000
03210000-03210fff : 3210000.spi spi@3210000
