09-21-2026 16:43:31 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,12%@1344,1%@1344,12%@1344,1%@1344] GR3D_FREQ 0% cpu@49.812C soc2@48.875C soc0@49.593C gpu@49.281C tj@49.812C soc1@49.281C VDD_IN 5280mW/5280mW VDD_CPU_GPU_CV 1118mW/1118mW VDD_SOC 1400mW/1400mW
09-21-2026 16:43:32 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,29%@1344,0%@1344,3%@1344,0%@1344] GR3D_FREQ 0% cpu@49.625C soc2@48.843C soc0@49.562C gpu@49.125C tj@49.625C soc1@49.312C VDD_IN 5160mW/5220mW VDD_CPU_GPU_CV 1078mW/1098mW VDD_SOC 1400mW/1400mW
09-21-2026 16:43:32 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,0%@1344,0%@1344,0%@1344] GR3D_FREQ 0% cpu@49.593C soc2@48.812C soc0@49.562C gpu@49.093C tj@49.593C soc1@49.218C VDD_IN 5200mW/5213mW VDD_CPU_GPU_CV 1158mW/1118mW VDD_SOC 1360mW/1387mW
09-21-2026 16:43:33 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,0%@1344,0%@1344,0%@1344] GR3D_FREQ 0% cpu@49.843C soc2@48.781C soc0@49.656C gpu@49.125C tj@49.656C soc1@49.343C VDD_IN 5200mW/5210mW VDD_CPU_GPU_CV 1158mW/1128mW VDD_SOC 1360mW/1380mW
09-21-2026 16:43:33 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,0%@1344,0%@1344,0%@1344] GR3D_FREQ 0% cpu@49.875C soc2@48.937C soc0@49.562C gpu@49.062C tj@49.875C soc1@49.406C VDD_IN 5200mW/5208mW VDD_CPU_GPU_CV 1158mW/1134mW VDD_SOC 1357mW/1375mW
09-21-2026 16:43:34 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,0%@1344,1%@1344,0%@1344] GR3D_FREQ 0% cpu@49.656C soc2@48.875C soc0@49.5C gpu@49.375C tj@49.656C soc1@49.25C VDD_IN 5200mW/5207mW VDD_CPU_GPU_CV 1158mW/1138mW VDD_SOC 1357mW/1372mW
09-21-2026 16:43:34 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,0%@1344,0%@1344,1%@1344] GR3D_FREQ 0% cpu@49.656C soc2@48.843C soc0@49.5C gpu@49.218C tj@49.656C soc1@49.218C VDD_IN 5200mW/5206mW VDD_CPU_GPU_CV 1158mW/1141mW VDD_SOC 1357mW/1370mW
09-21-2026 16:43:35 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,1%@1344,0%@1344,0%@1344] GR3D_FREQ 0% cpu@49.875C soc2@48.75C soc0@49.656C gpu@49.187C tj@49.875C soc1@49.187C VDD_IN 5240mW/5210mW VDD_CPU_GPU_CV 1158mW/1143mW VDD_SOC 1360mW/1369mW
09-21-2026 16:43:35 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,0%@1344,0%@1344,1%@1344] GR3D_FREQ 0% cpu@49.625C soc2@48.906C soc0@49.593C gpu@49.093C tj@49.625C soc1@49.312C VDD_IN 5240mW/5213mW VDD_CPU_GPU_CV 1158mW/1145mW VDD_SOC 1360mW/1368mW
09-21-2026 16:43:36 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,1%@1344,0%@1344,0%@1344] GR3D_FREQ 0% cpu@49.75C soc2@48.937C soc0@49.562C gpu@49.125C tj@49.75C soc1@49.375C VDD_IN 5200mW/5212mW VDD_CPU_GPU_CV 1158mW/1146mW VDD_SOC 1360mW/1367mW
09-21-2026 16:43:36 RAM 1961/7620MB (lfb 4x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,0%@1344,0%@1344,1%@1344] GR3D_FREQ 0% cpu@49.625C soc2@48.781C soc0@49.687C gpu@49.093C tj@49.625C soc1@49.312C VDD_IN 5200mW/5211mW VDD_CPU_GPU_CV 1158mW/1147mW VDD_SOC 1360mW/1366mW
