09-23-2026 01:59:58 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@960,0%@960,1%@960,0%@960,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.093C soc2@44.343C soc0@45.312C gpu@44.843C tj@45.312C soc1@44.843C VDD_IN 4523mW/4523mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:59 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.156C soc2@44.312C soc0@45.187C gpu@45.187C tj@45.187C soc1@44.875C VDD_IN 4482mW/4503mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:59 RAM 1958/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.218C soc2@44.437C soc0@45.218C gpu@45.125C tj@45.218C soc1@44.875C VDD_IN 4489mW/4498mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1373mW
09-23-2026 02:00:00 RAM 1962/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [3%@1344,1%@1344,0%@1344,5%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 2%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.343C soc2@44.437C soc0@45.187C gpu@45.125C tj@45.343C soc1@45C VDD_IN 4603mW/4524mW VDD_CPU_GPU_CV 564mW/534mW VDD_SOC 1370mW/1372mW
09-23-2026 02:00:00 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,7%@1344,0%@1344,1%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.625C soc2@44.781C soc0@45.343C gpu@46.906C tj@46.906C soc1@45.062C VDD_IN 8280mW/5275mW VDD_CPU_GPU_CV 4106mW/1248mW VDD_SOC 1360mW/1370mW
09-23-2026 02:00:01 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.937C soc2@45C soc0@45.531C gpu@47.062C tj@47.062C soc1@45.187C VDD_IN 9768mW/6024mW VDD_CPU_GPU_CV 5564mW/1968mW VDD_SOC 1355mW/1367mW
09-23-2026 02:00:01 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.75C soc2@45.125C soc0@45.718C gpu@47.625C tj@47.625C soc1@45.062C VDD_IN 10190mW/6619mW VDD_CPU_GPU_CV 5991mW/2542mW VDD_SOC 1353mW/1365mW
09-23-2026 02:00:02 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.093C soc2@45.25C soc0@45.656C gpu@47.468C tj@47.468C soc1@45.156C VDD_IN 10310mW/7081mW VDD_CPU_GPU_CV 6110mW/2988mW VDD_SOC 1353mW/1364mW
09-23-2026 02:00:02 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.218C soc2@45.406C soc0@45.781C gpu@47.812C tj@47.812C soc1@45.218C VDD_IN 10310mW/7439mW VDD_CPU_GPU_CV 6110mW/3335mW VDD_SOC 1353mW/1363mW
09-23-2026 02:00:03 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.312C soc2@45.5C soc0@45.843C gpu@47.812C tj@47.812C soc1@45.312C VDD_IN 10350mW/7731mW VDD_CPU_GPU_CV 6150mW/3617mW VDD_SOC 1353mW/1362mW
09-23-2026 02:00:03 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.312C soc2@45.593C soc0@46C gpu@47.906C tj@47.906C soc1@45.343C VDD_IN 10350mW/7969mW VDD_CPU_GPU_CV 6150mW/3847mW VDD_SOC 1353mW/1361mW
09-23-2026 02:00:04 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.187C soc2@45.437C soc0@46.093C gpu@47.875C tj@47.875C soc1@45.5C VDD_IN 10350mW/8167mW VDD_CPU_GPU_CV 6150mW/4039mW VDD_SOC 1353mW/1360mW
09-23-2026 02:00:04 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.406C soc2@45.625C soc0@46.031C gpu@47.937C tj@47.937C soc1@45.343C VDD_IN 10429mW/8341mW VDD_CPU_GPU_CV 6150mW/4201mW VDD_SOC 1353mW/1360mW
09-23-2026 02:00:05 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.437C soc2@45.687C soc0@46.125C gpu@47.937C tj@47.937C soc1@45.437C VDD_IN 10350mW/8485mW VDD_CPU_GPU_CV 6150mW/4341mW VDD_SOC 1353mW/1359mW
09-23-2026 02:00:05 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.531C soc2@45.812C soc0@46.125C gpu@48.343C tj@48.343C soc1@45.531C VDD_IN 10350mW/8609mW VDD_CPU_GPU_CV 6150mW/4461mW VDD_SOC 1353mW/1359mW
