09-23-2026 01:59:18 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@806,0%@806,1%@806,0%@806,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.375C soc2@44.562C soc0@45.343C gpu@45.468C tj@45.468C soc1@45.156C VDD_IN 4563mW/4563mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:18 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.125C soc2@44.437C soc0@45.375C gpu@44.968C tj@45.468C soc1@45.218C VDD_IN 4482mW/4523mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:19 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,1%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.218C soc2@44.5C soc0@45.562C gpu@45.312C tj@45.562C soc1@44.968C VDD_IN 4489mW/4511mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:20 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.25C soc2@44.468C soc0@45.25C gpu@45.218C tj@45.281C soc1@45C VDD_IN 4523mW/4514mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:20 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.437C soc2@44.5C soc0@45.343C gpu@45.093C tj@45.437C soc1@45.031C VDD_IN 4489mW/4509mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:21 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.5C soc2@44.375C soc0@45.312C gpu@45.531C tj@45.531C soc1@45.187C VDD_IN 4489mW/4506mW VDD_CPU_GPU_CV 484mW/517mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:21 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,1%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.218C soc2@44.406C soc0@45.25C gpu@45.25C tj@45.25C soc1@44.937C VDD_IN 4570mW/4515mW VDD_CPU_GPU_CV 524mW/518mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:22 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,3%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.312C soc2@44.437C soc0@45.343C gpu@45.062C tj@45.343C soc1@44.968C VDD_IN 4603mW/4526mW VDD_CPU_GPU_CV 524mW/519mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:22 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.375C soc2@44.468C soc0@45.281C gpu@44.968C tj@45.375C soc1@45C VDD_IN 4523mW/4526mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:23 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.437C soc2@44.5C soc0@45.375C gpu@45.281C tj@45.437C soc1@45.125C VDD_IN 4489mW/4522mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
09-23-2026 01:59:23 RAM 1961/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@45.25C soc2@44.437C soc0@45.25C gpu@45.093C tj@45.25C soc1@44.906C VDD_IN 4489mW/4519mW VDD_CPU_GPU_CV 524mW/520mW VDD_SOC 1373mW/1373mW
