09-23-2026 02:14:41 RAM 972/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@883,0%@883,0%@883,0%@883,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.187C soc2@49.468C soc0@50.531C gpu@49.75C tj@50.531C soc1@50.343C VDD_IN 4644mW/4644mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1370mW/1370mW
09-23-2026 02:14:41 RAM 972/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.156C soc2@49.5C soc0@50.343C gpu@49.968C tj@50.343C soc1@50.156C VDD_IN 4563mW/4604mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1372mW
09-23-2026 02:14:42 RAM 972/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.093C soc2@49.5C soc0@50.375C gpu@49.75C tj@50.375C soc1@50.156C VDD_IN 4563mW/4590mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1372mW
09-23-2026 02:14:42 RAM 972/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,5%@1344,3%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.187C soc2@49.468C soc0@50.375C gpu@49.75C tj@50.375C soc1@50.187C VDD_IN 4717mW/4622mW VDD_CPU_GPU_CV 563mW/534mW VDD_SOC 1368mW/1371mW
09-23-2026 02:14:43 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,0%@1344,23%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.312C soc2@49.593C soc0@50.343C gpu@51.468C tj@51.468C soc1@49.968C VDD_IN 7200mW/5137mW VDD_CPU_GPU_CV 2915mW/1010mW VDD_SOC 1400mW/1377mW
09-23-2026 02:14:43 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.5C soc2@49.937C soc0@50.437C gpu@51.718C tj@51.718C soc1@50.125C VDD_IN 9489mW/5863mW VDD_CPU_GPU_CV 5206mW/1709mW VDD_SOC 1395mW/1380mW
09-23-2026 02:14:44 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,1%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.718C soc2@50.093C soc0@50.531C gpu@51.875C tj@51.875C soc1@50.156C VDD_IN 10151mW/6475mW VDD_CPU_GPU_CV 5872mW/2304mW VDD_SOC 1393mW/1382mW
09-23-2026 02:14:44 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.906C soc2@50.281C soc0@50.562C gpu@52.312C tj@52.312C soc1@50.187C VDD_IN 10389mW/6965mW VDD_CPU_GPU_CV 6100mW/2779mW VDD_SOC 1393mW/1383mW
09-23-2026 02:14:45 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51C soc2@50.25C soc0@50.687C gpu@52.125C tj@52.125C soc1@50.343C VDD_IN 10429mW/7349mW VDD_CPU_GPU_CV 6180mW/3156mW VDD_SOC 1391mW/1384mW
09-23-2026 02:14:45 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.937C soc2@50.375C soc0@50.812C gpu@52.5C tj@52.5C soc1@50.187C VDD_IN 10509mW/7665mW VDD_CPU_GPU_CV 6180mW/3459mW VDD_SOC 1391mW/1385mW
09-23-2026 02:14:46 RAM 1048/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.062C soc2@50.375C soc0@50.75C gpu@52.281C tj@52.281C soc1@50.25C VDD_IN 10469mW/7920mW VDD_CPU_GPU_CV 6180mW/3706mW VDD_SOC 1391mW/1385mW
