09-23-2026 02:14:04 RAM 982/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@883,0%@883,0%@883,0%@883,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@52.593C soc0@53.375C gpu@52.562C tj@53.375C soc1@53.156C VDD_IN 4603mW/4603mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1330mW/1330mW
09-23-2026 02:14:05 RAM 982/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@52.562C soc0@53.406C gpu@52.812C tj@53.437C soc1@53.281C VDD_IN 4603mW/4603mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1332mW/1331mW
09-23-2026 02:14:05 RAM 982/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@52.437C soc0@53.406C gpu@52.375C tj@53.343C soc1@53.25C VDD_IN 4523mW/4576mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1332mW/1331mW
09-23-2026 02:14:06 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@52.437C soc0@53.156C gpu@52.625C tj@53.156C soc1@53C VDD_IN 4603mW/4583mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1332mW/1332mW
09-23-2026 02:14:06 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@52.281C soc0@53.218C gpu@52.656C tj@53.218C soc1@53.093C VDD_IN 4563mW/4579mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1332mW/1332mW
09-23-2026 02:14:07 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.718C soc2@52.312C soc0@53.093C gpu@52.25C tj@53.093C soc1@52.937C VDD_IN 4523mW/4570mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1332mW/1332mW
09-23-2026 02:14:07 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.687C soc2@52.218C soc0@53.093C gpu@52.281C tj@53.093C soc1@53.093C VDD_IN 4523mW/4563mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1332mW/1332mW
09-23-2026 02:14:08 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.625C soc2@52.125C soc0@52.937C gpu@52.281C tj@52.937C soc1@52.781C VDD_IN 4523mW/4558mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1332mW/1332mW
09-23-2026 02:14:08 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.656C soc2@52.093C soc0@53.062C gpu@52.343C tj@53.062C soc1@52.906C VDD_IN 4523mW/4554mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1332mW/1332mW
09-23-2026 02:14:09 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.468C soc2@52.125C soc0@52.875C gpu@52.312C tj@52.875C soc1@52.656C VDD_IN 4603mW/4559mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1336mW
09-23-2026 02:14:09 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1173,0%@729,0%@883,0%@883] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@51.968C soc0@52.906C gpu@52.437C tj@52.906C soc1@52.562C VDD_IN 4563mW/4559mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1339mW
09-23-2026 02:14:10 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,7%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.5C soc2@52.031C soc0@52.781C gpu@52C tj@52.812C soc1@52.562C VDD_IN 4603mW/4563mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1342mW
09-23-2026 02:14:10 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.343C soc2@51.875C soc0@52.906C gpu@52.031C tj@52.906C soc1@52.781C VDD_IN 4563mW/4563mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1344mW
09-23-2026 02:14:11 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@51.875C soc0@52.625C gpu@51.843C tj@52.625C soc1@52.531C VDD_IN 4563mW/4563mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1347mW
09-23-2026 02:14:11 RAM 983/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.468C soc2@51.875C soc0@52.718C gpu@52C tj@52.718C soc1@52.531C VDD_IN 4563mW/4563mW VDD_CPU_GPU_CV 524mW/524mW VDD_SOC 1373mW/1348mW
09-23-2026 02:14:12 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [3%@1344,1%@1344,3%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.25C soc2@51.812C soc0@52.781C gpu@52.187C tj@52.781C soc1@52.468C VDD_IN 4757mW/4575mW VDD_CPU_GPU_CV 563mW/526mW VDD_SOC 1408mW/1352mW
09-23-2026 02:14:12 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.312C soc2@51.781C soc0@52.593C gpu@51.937C tj@52.593C soc1@52.312C VDD_IN 4644mW/4579mW VDD_CPU_GPU_CV 524mW/526mW VDD_SOC 1373mW/1353mW
09-23-2026 02:14:13 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,1%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.343C soc2@51.718C soc0@52.593C gpu@51.781C tj@52.593C soc1@52.343C VDD_IN 4603mW/4581mW VDD_CPU_GPU_CV 524mW/526mW VDD_SOC 1373mW/1354mW
09-23-2026 02:14:13 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.093C soc2@51.593C soc0@52.437C gpu@51.843C tj@52.437C soc1@52.187C VDD_IN 4603mW/4582mW VDD_CPU_GPU_CV 524mW/526mW VDD_SOC 1373mW/1355mW
09-23-2026 02:14:14 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.062C soc2@51.562C soc0@52.5C gpu@51.625C tj@52.406C soc1@52.281C VDD_IN 4603mW/4583mW VDD_CPU_GPU_CV 524mW/526mW VDD_SOC 1373mW/1356mW
09-23-2026 02:14:15 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52C soc2@51.625C soc0@52.468C gpu@52C tj@52.468C soc1@52.25C VDD_IN 4563mW/4582mW VDD_CPU_GPU_CV 524mW/526mW VDD_SOC 1373mW/1357mW
