09-23-2026 02:17:29 RAM 966/7620MB (lfb 166x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@883,0%@883,0%@883,0%@883,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.75C soc2@55.5C soc0@56.312C gpu@55.281C tj@56.312C soc1@55.968C VDD_IN 4717mW/4717mW VDD_CPU_GPU_CV 563mW/563mW VDD_SOC 1370mW/1370mW
09-23-2026 02:17:29 RAM 966/7620MB (lfb 166x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.781C soc2@55.437C soc0@56.125C gpu@55.062C tj@56.218C soc1@55.843C VDD_IN 4603mW/4660mW VDD_CPU_GPU_CV 564mW/564mW VDD_SOC 1373mW/1372mW
09-23-2026 02:17:30 RAM 966/7620MB (lfb 166x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.812C soc2@55.437C soc0@56.156C gpu@55.031C tj@56.187C soc1@55.906C VDD_IN 4603mW/4641mW VDD_CPU_GPU_CV 564mW/564mW VDD_SOC 1373mW/1372mW
09-23-2026 02:17:30 RAM 966/7620MB (lfb 166x4MB) SWAP 609/3810MB (cached 0MB) CPU [3%@1344,1%@1344,3%@1344,1%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.531C soc2@55.312C soc0@56C gpu@55.093C tj@56C soc1@55.843C VDD_IN 4709mW/4658mW VDD_CPU_GPU_CV 563mW/564mW VDD_SOC 1368mW/1371mW
09-23-2026 02:17:31 RAM 969/7620MB (lfb 166x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,0%@1344,4%@1344,5%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.468C soc2@55.218C soc0@56.031C gpu@54.906C tj@56.031C soc1@55.968C VDD_IN 4927mW/4712mW VDD_CPU_GPU_CV 600mW/571mW VDD_SOC 1362mW/1369mW
09-23-2026 02:17:31 RAM 969/7620MB (lfb 166x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,1%@1344,0%@1344,1%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.531C soc2@55.125C soc0@55.781C gpu@54.875C tj@55.781C soc1@55.656C VDD_IN 4967mW/4754mW VDD_CPU_GPU_CV 600mW/576mW VDD_SOC 1360mW/1368mW
09-23-2026 02:17:32 RAM 970/7620MB (lfb 166x4MB) SWAP 609/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,3%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.468C soc2@55.187C soc0@55.968C gpu@55.093C tj@55.968C soc1@55.593C VDD_IN 5000mW/4789mW VDD_CPU_GPU_CV 559mW/573mW VDD_SOC 1360mW/1367mW
09-23-2026 02:17:32 RAM 981/7620MB (lfb 166x4MB) SWAP 609/3810MB (cached 0MB) CPU [0%@1344,0%@1344,1%@1344,11%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.375C soc2@54.906C soc0@55.843C gpu@54.875C tj@55.843C soc1@55.531C VDD_IN 5000mW/4816mW VDD_CPU_GPU_CV 599mW/577mW VDD_SOC 1360mW/1366mW
09-23-2026 02:17:33 RAM 1038/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [13%@1344,0%@1344,0%@1344,7%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.218C soc2@54.843C soc0@55.656C gpu@54.625C tj@55.656C soc1@55.406C VDD_IN 5080mW/4845mW VDD_CPU_GPU_CV 599mW/579mW VDD_SOC 1400mW/1370mW
09-23-2026 02:17:33 RAM 1134/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [19%@1344,0%@1344,0%@1344,56%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.406C soc2@54.875C soc0@55.562C gpu@54.687C tj@55.562C soc1@55.281C VDD_IN 5240mW/4885mW VDD_CPU_GPU_CV 798mW/601mW VDD_SOC 1400mW/1373mW
09-23-2026 02:17:34 RAM 1555/7620MB (lfb 165x4MB) SWAP 609/3810MB (cached 0MB) CPU [3%@1344,0%@1344,1%@1344,34%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 1%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@55.343C soc2@54.781C soc0@55.593C gpu@54.531C tj@55.593C soc1@55.375C VDD_IN 5200mW/4913mW VDD_CPU_GPU_CV 718mW/612mW VDD_SOC 1400mW/1375mW
